Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA LARGO,Тюль,2038279976557,171828940,51740641916,49163210567,,Выдано,2026-04-01 13:12:21,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4820060006,mp.b3fdc15bba6e4ea48ea456d167e8b137.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646585,244226830,51755308929,49339893389,,Выдано,2026-03-30 09:26:58,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4822430346,mp.dd7507216a264a6b86a333b893841f99.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044506197626,120366333,51356383685,39245254212,,Выдано,2026-04-03 09:27:00,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4795452185,mp.e3d413ce45e3403ea05a7686c94d9572.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2038279976557,171828940,51740641919,49163210559,,Выдано,2026-04-01 13:14:32,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4820060007,mp.e8fe0d6c2fe640c7bc27b5da9167afcf.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646585,244226830,51755308933,49339893381,,Выдано,2026-03-30 09:26:01,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4822430347,mp.ebd2927f65f74a76a15bd6e68a1c6e0b.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040599653919,242077980,51784168331,46980894205,,Выдано,2026-03-31 08:50:57,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4825731226,mp.fd42ae8590354839bba14e4392740a8e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037541816911,149262830,51859116785,49497172744,,Выдано,2026-03-31 08:55:03,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4829685004,mp.5548f470f0a044e28d340c3fb483ce39.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038090337551,166776349,51855908931,44025154047,,Выдано,2026-04-01 10:21:12,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4828371056,mp.6d09bf0a0943476580730606f07ca7e5.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423573,176487101,51741448997,50417764993,,Выдано,2026-04-02 12:40:34,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4820867911,mp.7ac9251e943747e3a9d0013d3cc9487e.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040599653926,242077982,51171968330,51371143327,,Выдано,2026-03-31 09:07:12,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4779063739,mp.94f66e2042ee430fbcc960b5cdab0361.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646080,244226678,49358053218,49358053218,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4593213973,mp.a57deaba202b4693b19747c523ba0d83.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810315,188397366,51293073493,50583058238,,Выдано,2026-04-01 13:46:11,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4787085710,mp.a651e5620fe44c27b83f651a395f0fd2.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040599653926,242077982,51171968326,51371143307,,Выдано,2026-03-31 09:00:15,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4779063738,mp.d9d04a1538f846c385c0f7dc73419f9d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048838837182,810348943,51859127368,50753007008,,Выдано,2026-04-01 17:11:19,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-29,,4829695590,mp.dc09bf2a4b2e4e21a76660d1294e6790.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647766,244226851,51939222647,48829142421,,Выдано,2026-04-03 08:49:24,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4832724029,mp.08dc1e5f382045618dd6ef42b12c8a0b.r,"Тверь, Улица Вагжанова 21",211256
